"","FIPS","Name","2030 Total Population","2030 Total 0-4","2040 Total Population","2040 Total 0-4","2050 Total Population","2050 Total 0-4","City","Population_16plus","Poverty_Percent","Children_U6_Working_Parents","Median_Income","Unemployment_Rate","Licensed_Capacity_Total","Cap_Centers","Cap_Preschools","Cap_Family","Cap_SchoolAge","Infant_Weekly_Cost","Toddler_Weekly_Cost","Preschool_Weekly_Cost","SchoolAge_Weekly_Cost"
"76","51157","Rappahannock","7218.030525000443","296.93393007977312","7291.3990379795114","293.87936742629148","7473.8990379795114","297.0327355234956","Rappahannock",7360,7.7,196,82077,4.2,239,167,72,NA,NA,242,242,242,185
"77","51159","Richmond","8468.8404029501307","345.95807248283705","8400.1146001669549","340.68857668583388","8457.1146001669549","352.82772668689574","Richmond%20County",8951,16.7,244,53298,2.5,325,65,58,12,190,220,200,170,0
"78","51159","Richmond","8468.8404029501307","345.95807248283705","8400.1146001669549","340.68857668583388","8457.1146001669549","352.82772668689574","Richmond",229233,20.9,11191,51421,6.3,14756,10004,1210,308,3234,316,303,244,150
"79","51161","Roanoke","100027.3349362413","4899.1661849148095","104045.56895763538","5109.6157547353769","109621.06895763538","5357.114241859962","Roanoke",99122,20.1,5251,45664,6.7,5690,3810,299,146,1435,283,256,190,115
"80","51163","Rockbridge","22663.413336246784","1031.3382991956253","23236.627175618694","1052.6514963589427","24157.627175618694","1086.6825051729763","Rockbridge",22728,12.5,768,54133,4.8,242,NA,92,NA,150,0,0,0,0
"81","51165","Rockingham","89892.719360923191","5242.572569821974","96464.914203971712","5669.205332002909","104480.91420397171","6074.6169116758447","Rockingham",81138,7.9,3684,64496,3.1,1526,636,187,36,667,233,229,199,0
"82","51167","Russell","22340.114959597853","1026.8398639008449","19780.55634089667","921.56366294228837","17517.05634089667","840.19581237031809","Russell",26937,18.2,995,38564,6.6,215,156,NA,24,35,232,210,202,125
"83","51169","Scott","19688.674004763601","850.03845767445273","18498.307008364522","790.2547262180118","17584.807008364522","754.69872015990802","Scott",21761,14.8,754,41540,3.7,200,24,176,NA,NA,0,0,0,0
"84","51171","Shenandoah","45714.193325002809","2571.5991290841171","49528.394256495369","2834.2933925944421","54083.894256495369","3125.645457554253","Shenandoah",43441,12.2,1735,56114,4.6,381,260,85,36,NA,171,161,160,210
"85","51173","Smyth","26999.357113315877","1335.3253123035624","24984.904222157806","1207.1635925244996","23344.404222157806","1152.0742680493993","Smyth",30539,18.7,1056,41088,5.5,360,191,97,12,60,100,100,90,141
"86","51175","Southampton","17172.269262127233","754.23280925412121","17172.249570655313","720.74382518998596","17429.249570655313","752.28641057005416","Southampton",17829,7.8,773,63034,4.7,195,NA,195,NA,NA,175,175,145,145
"87","51177","Spotsylvania","155406.96692410827","9486.0235965959","177567.78270295329","10719.684722559219","202386.28270295329","11954.905261926648","Spotsylvania",134683,7.1,6095,90913,4.6,5206,3722,370,114,1000,244,230,184,162
"88","51179","Stafford","182242.70351753477","11555.740666258023","211320.3396036831","13408.971439366154","243560.8396036831","15132.778953296247","Stafford",150185,5.5,7250,112247,3.8,5683,3817,213,254,1399,260,249,212,174
"89","51181","Surry","5977.077304875419","271.17066323784974","5756.9127099311572","243.41766237330762","5622.9127099311572","245.57488491120569","Surry",6459,16.3,227,56525,4.8,29,NA,17,12,NA,0,0,0,0
"90","51183","Sussex","9433.8072039846029","319.84516104148634","8469.5422666749873","269.63466610521414","7632.0422666749873","245.90810768189385","Sussex",11202,11.2,442,51701,6.8,123,40,74,9,NA,0,0,0,0
"91","51185","Tazewell","35267.121696642891","1629.9176896281381","32693.296122378415","1532.6236861167072","30608.796122378415","1426.8453210248119","Tazewell",41201,NA,1338,42207,7.1,506,337,157,12,NA,0,0,0,0
"92","51187","Warren","43250.028868837158","2631.1592746125102","47116.331513128629","2813.1821256623671","51687.831513128629","3060.4713257179737","Warren",39888,10.8,1601,70109,5.8,698,573,40,10,75,163,160,155,130
"93","51191","Washington","52234.372476017146","2354.23290799082","52859.220421748141","2399.5717743036166","54275.220421748141","2466.2955981309797","Washington",54005,13.5,2181,50928,4.2,1207,597,207,44,359,232,217,217,60
"94","51193","Westmoreland","19220.48275809213","964.89126004141031","19803.579547528316","977.92468682136314","20683.079547528316","1035.2360199212335","Westmoreland",17873,15.7,344,53790,12.7,279,66,40,23,150,0,0,0,0
"95","51195","Wise","30366.391426220631","1462.2745580234528","27951.536495110387","1322.2607488257513","25955.036495110387","1242.70421577504","Wise",38032,21.1,1192,41285,9.2,238,125,89,24,NA,185,175,140,0
"96","51197","Wythe","26953.03082153996","1309.8773056762275","26895.974646414776","1307.2283711658947","27241.474646414776","1333.2973208505073","Wythe",28725,13.4,1123,51639,4.2,447,334,77,36,NA,145,130,130,0
"97","51199","York","73556.294682327352","4119.9251716821727","79244.234084298325","4444.2727429718771","86118.234084298325","4761.1365333246358","York",68389,4.8,2665,93356,5.3,2868,1144,283,6,1435,0,0,0,0
"98","51510","Alexandria","176402.63375642215","11617.351755665513","189163.39621053333","12967.823929652475","204755.39621053333","14215.44709956493","Alexandria",158309,9.4,7865,102227,3.3,18457,9016,2453,2256,4732,435,410,379,256
"99","51520","Bristol","16365.008986287363","931.12682135451314","16050.774582856566","905.07636905281822","15976.774582856566","938.5834673937303","Bristol",17059,22.1,714,39679,6.3,1154,445,174,24,511,128,126,123,100
"100","51530","Buena Vista","6536.9354693162559","387.35579208476008","6584.38595547159","397.20919029333373","6730.38595547159","396.72120625465982","Buena%20Vista",6477,16.9,278,36634,1.8,56,56,NA,NA,NA,0,0,0,0
"101","51540","Charlottesville","48919.578449583103","2548.02065997615","48939.099446818698","2480.6095904242766","49691.099446818698","2570.4996761663733","Charlottesville",47217,23.1,1838,59598,4.6,5946,2821,612,136,2377,339,316,290,379
"102","51550","Chesapeake","272669.65373255464","16420.230321161136","293397.33090914221","17163.537804442247","318516.33090914221","18597.019606303405","Chesapeake",242647,7.5,12210,81261,5.2,7640,4754,542,157,2187,314,280,231,177
"103","51570","Colonial Heights","18657.667596303891","1002.4593293233888","19009.647291509176","997.35262306542154","19646.147291509176","1043.2600101038861","Colonial%20Heights",17283,9.9,894,60522,6.1,351,208,60,8,75,0,0,225,0
"104","51580","Covington","5433.9754587365078","284.01733336444886","5075.0169028571372","260.4464716081003","4792.0169028571372","249.93277765728442","Covington",5653,11.6,352,41024,2.7,327,327,NA,NA,NA,190,190,170,85
"105","51590","Danville","41521.171086391332","2450.8389585019877","38041.301101861245","2188.6258975672936","35130.801101861245","2053.0733147663927","Danville",40668,NA,1929,37147,7.1,1119,748,260,11,100,195,195,185,0
"106","51595","Emporia","5524.6567107234041","354.88039559065305","5492.9429910230947","352.7321981119714","5543.4429910230947","359.57205697504929","Emporia",5408,21.8,441,30058,16.7,304,240,40,24,NA,0,0,117,0
"107","51600","Fairfax","25358.223585509546","1389.9215589298069","26288.755748700449","1469.3989356458947","27612.755748700449","1519.2042853338353","Fairfax",23312,9.8,1450,109708,4.6,8160,3772,1236,822,2330,446,421,388,281
"108","51610","Falls Church","16740.54764940701","992.7287671111535","18602.619393549947","1151.3072663831742","20743.119393549947","1261.0739249705293","Falls%20Church",14309,NA,664,146922,4.4,6728,3316,890,962,1560,488,488,431,375
"109","51620","Franklin","7666.5084560225932","506.50392542897964","7471.6786957309832","487.04551410842947","7388.6786957309832","503.05823136549435","Franklin",8015,17.5,547,49811,9.9,357,233,NA,24,100,147,142,131,128
"110","51630","Fredericksburg","31223.920656966278","1940.9839842911231","35050.809813922751","2143.5176722955139","39402.309813922751","2522.3099454588337","Fredericksburg",29059,13.9,1323,69528,5.8,6857,5293,344,176,1044,234,225,187,159
"111","51640","Galax","6306.2896762191504","346.69320454447814","6155.6570141543898","338.13862684600747","6097.1570141543898","330.56898408470897","Galax",6402,24.1,296,35184,8.3,310,164,65,48,33,105,95,85,0
"112","51650","Hampton","134898.21898833275","7842.7170652220784","128332.94020157107","7227.9604150740097","123688.44020157107","7037.4596523923392","Hampton",135169,15.3,6675,57041,6.1,3352,2627,317,148,260,207,203,176,125
"113","51660","Harrisonburg","53929.717621859112","2805.8554499847678","58723.789660871924","3061.164245212035","64396.789660871924","3442.7481700430026","Harrisonburg",53558,25.5,1960,49117,4.7,1777,757,345,48,627,205,203,183,144
"114","51670","Hopewell","23138.504243395524","1561.1757396658893","23131.787238180841","1511.7630477583866","23471.287238180841","1546.9812171065175","Hopewell",22500,24.7,1043,43262,8.4,474,438,NA,36,NA,0,0,0,0
"115","51678","Lexington","7489.0886151786653","209.64474966773861","7601.8111426080532","214.24934008285877","7828.3111426080532","223.32230299562991","Lexington",7205,22.1,197,50714,3.4,493,169,124,NA,200,0,0,0,0
"116","51680","Lynchburg","81268.143764343375","4840.1197883515197","86838.419824313169","5143.2913795466184","93708.419824313169","5521.7947512173023","Lynchburg",80970,17.1,3747,49201,6.3,3128,2068,252,80,728,196,192,171,158
